price,bedrooms,bathrooms,sqft_living,sqft_lot,floors
900000,3,1,1330,77972,1
531000,2,3,1270,1175,2
831000,4,3,2170,4000,2
780000,4,2.5,2730,10281,2
755000,4,2.5,2120,10202,1
705380,3,2.5,2490,4343,2
627000,4,2.25,1990,7712,1
865000,4,3,3690,9892,2
580000,2,1,2540,7000,1
410000,3,2.25,1800,36704,1
485000,4,3,2340,7048,1
400000,2,1.75,2110,9519,1
549000,2,1,1140,5400,1
620000,3,1.75,1480,2185,2.5
405000,2,3,1410,1240,2
232000,2,1,1200,8063,1
800866,5,2.5,3180,13806,2
650000,3,1.5,2160,9000,1
823000,6,1.75,2920,5000,2.5
770000,3,2,2350,5700,1.5
524000,3,1.75,1560,5520,1
541125,5,2.75,2740,8426,1
670000,3,2.5,1680,2000,3
384900,5,2.5,3090,12750,1
406100,3,2.25,1410,1332,3
1395000,5,3.5,4010,8510,2
736500,4,2.5,3180,21904,2
570000,3,2.25,2010,6000,1
787000,3,1.75,1330,7500,1
328000,4,2.5,2370,6500,2
435000,5,2,1840,9240,1
499000,4,2.5,2910,6479,2
501000,4,1,2070,7519,1
1090000,4,2.5,4340,141570,2.5
400000,2,1,840,5510,1
220000,4,1.5,1240,9600,1
657100,4,1,1390,4240,1
309950,4,2.75,2310,5000,2
300000,3,2,1050,10072,1
525888,5,1.75,2550,71874,1
740000,4,1.75,2010,3600,1.5
340000,5,1,1120,9022,1.5
398750,3,2.5,2230,4000,2
206000,2,1,810,7158,1
1030000,5,2.75,3190,16920,1
600000,3,1.75,1670,39639,1
379950,4,1.75,1970,9389,1
287000,3,1,1450,6000,1
2280000,7,8,13540,307752,3
309950,3,2.5,1880,7838,2
600000,3,1.75,1880,6360,1
418000,3,2,1410,6030,1.5
449250,4,2,1480,3844,1.5
329950,2,1,1140,5250,1.5
245000,3,1.75,1920,9306,1
549000,4,2.5,2910,6338,2
800000,3,2.5,3240,7857,2
249950,3,2,1550,15040,1
210000,5,2,2050,10200,1
1425000,2,2.5,2220,4000,2
585000,2,1,1770,8640,1.5
615000,4,1.75,2300,11700,1
618500,3,2,1800,5000,1
487585,4,1.75,2010,9211,1
509900,3,2.5,1790,2700,2
631625,4,2.5,2440,6651,2
555000,3,2.5,1940,3211,2
340000,2,1.5,1160,1438,2
830000,4,2.5,3400,9692,2
890000,4,4.25,4420,5750,2
366750,3,3,1571,2017,3
415000,3,2.25,1620,998,2.5
416286,3,2.5,1408,989,3
478000,3,2.5,3040,4535,2
890000,5,3.5,4490,6000,2
419190,2,2.5,1590,1426,2
712198,4,2.5,2450,4247,2
397000,4,2,1440,7680,1
450000,2,2,1100,3000,1.5
353000,3,1,1350,7740,1
609000,4,2.5,2150,37981,2
234000,3,1.75,1490,8366,1
561000,3,2,2000,7000,2
469000,2,1,1030,4400,1
329350,2,1,720,6687,1
488000,5,2,2020,5000,1.5
279900,3,1.75,1580,8151,1
606000,4,2.5,2110,13850,2
312000,4,2,1300,7054,1
650000,3,1.5,1630,7475,1
1135000,4,2.75,3370,8103,1
325000,4,2.5,1890,6156,1
425000,4,2,1520,7983,1
219000,2,1,900,5160,1
250000,3,1,1050,6874,1
390000,3,1.75,1260,6500,1
475000,6,3,3470,117612,1.5
736000,4,2.5,2290,12047,2
407000,4,2.25,2810,23400,1
272000,3,2.5,1650,13816,2
362000,3,2.25,1640,14374,1
535000,3,2.5,1850,10109,2
284000,4,2.5,2000,5390,2
367500,3,1.5,1410,9647,1
379900,4,1.75,1500,11600,1
520000,3,2.5,2460,54885,2
175000,3,1,1010,7034,1
460000,2,2.25,1230,929,2
345000,4,2.5,2331,3826,2
455000,5,2.5,2240,7770,1
610000,4,3,2450,10117,1
563000,4,3,3100,15480,2
612500,4,2,2060,5000,1
218000,3,1.75,1850,7684,1
404000,4,1.75,1840,10720,1
860000,4,2,3740,32417,2
136500,3,1.5,1420,8580,1
313950,3,1,1510,6083,1
575000,3,1.75,2130,6500,1
1225000,4,2.25,3490,6906,2
280000,3,1.75,1630,11800,1
515000,3,2.5,1790,7167,2
513000,4,2.5,2000,5684,2
599000,4,2.25,2260,29930,2
685000,4,2.5,3030,7864,2
365000,3,1.5,1310,8160,1
762300,4,2.5,3880,14550,2
1580000,4,3.25,3760,10920,1.5
562000,5,2.25,3040,8111,2
530000,5,2.5,2910,9636,1
525000,3,2.5,2970,11985,1
484000,2,1.75,1660,6000,1
725126,4,2.5,3200,12369,2
360000,4,2,2680,18768,1
387000,3,1,1230,9568,1
483500,4,2.5,2740,45732,2
655500,4,3.5,3380,8330,2
345000,3,1,1110,6250,1
533000,5,2.75,1800,3780,1.5
385000,3,1.75,1900,5520,1
675000,2,1,930,36478,1
197000,3,1.75,1690,7735,1
485000,3,2,1420,4080,1.5
1870000,5,4,4510,15175,2
295000,3,2.25,1980,8000,1
499000,2,1.75,1170,2400,1
1050000,3,2.5,2200,1970,2
191000,3,1.5,800,8850,1
500000,3,2.5,1480,1171,3
390000,5,3.75,2890,5000,1
979000,3,2.5,2690,4047,3
580000,4,3.25,3569,8327,2
369950,3,2,1270,1320,3
1800000,5,5,4490,10279,2
776000,4,2.5,3040,6425,2
519950,3,2.25,1170,1249,3
255000,5,2.25,2060,8632,1
495000,3,1,990,6000,1
510000,4,2.5,2430,5203,2
1150000,4,4,4460,103382,2
253000,3,1.75,1250,10122,1
503000,3,2.75,1540,6760,1
275000,3,2.5,1600,7000,2
249000,3,1,1110,8423,1
310000,3,1.75,1840,10723,1
750000,3,2.75,2520,5401,1
630000,3,2.5,2680,327135,2
599999,9,4.5,3830,6988,2.5
758000,4,2.75,2410,9549,1
248500,4,1.75,1720,10018,1
310000,3,1.75,2070,37904,1
460000,3,2,1760,9055,2
675000,3,1.75,1680,10500,1
526000,2,2,1550,2400,1.5
560000,3,3,4120,60392,2
415000,4,3,1830,9548,2
246000,3,1,1400,7410,1
314500,3,1.75,1870,12381,1
3200000,7,4.5,6210,8856,2.5
420000,2,1.5,1040,3500,1.5
535000,3,1.75,2720,149410,1.5
350000,3,1,1010,9360,1
515000,3,1.75,1580,9147,1
749950,4,2.75,2600,6050,2
230000,3,2.5,1920,9180,2
568000,3,2,2350,5080,1.5
250000,1,1,1100,4373,1
581000,4,2,2510,13695,1
651000,3,2.5,3240,108366,2
600000,3,2.5,2460,108900,1
500000,2,1,1010,3885,1.5
475000,2,1,820,2723,1
352000,5,2.5,2420,8560,1
420000,3,2.25,1770,8165,2
428000,2,2,1350,3900,1
599000,3,1.75,1960,4788,1
492000,4,2.5,3305,16164,1.5
630000,2,2.25,2550,5663,1
900000,5,3.75,4130,226076,2
1110000,4,1.5,2310,13300,1
575000,4,2,1650,5000,1
705000,4,2.5,2650,4316,1.5
940000,4,2.25,1890,5940,1
313000,3,1.75,2190,8000,1
618080,3,2.5,2030,6500,2
640000,3,3,2270,5175,2
485000,3,2,1610,4160,1
300000,2,1,760,3001,1
379500,2,1,1640,17335,1
339950,3,2.25,1630,12295,2
1500000,6,2.5,3560,6480,2.5
1340000,3,3,2960,5500,2
500000,3,2.5,1940,37565,1
239900,3,2,1410,7566,1
314950,3,1,1040,16986,1
361280,2,1,820,6400,1
100000,2,1,910,22000,1
540000,7,5.75,3700,7647,2
480500,4,2.5,2180,11200,1
280000,3,2.5,1600,4271,2
440000,3,1.75,1500,6180,1
530000,3,1,1340,4284,1
560000,3,2,1860,13374,1
775000,3,2,2540,7200,1.5
160000,2,1,1040,13100,1
209950,3,1.5,1380,11130,1
226500,3,1.75,1640,10762,1
380000,5,1.75,3000,6000,1
409500,4,2.75,2140,13000,1
690000,3,2,1760,6428,1
405000,3,2.25,1660,8307,1
375000,3,2.5,1830,13042,2
794154,4,2,2210,8556,1
185000,4,1,1490,6600,1
245000,3,1.5,1260,1270,2
1532500,5,4.5,4270,8076,2
1040000,4,3.5,3900,8391,2
425000,2,2.5,1150,1027,3
495000,4,2.75,2656,21195,2
365000,5,2.75,2410,5003,1
417250,3,2.25,1606,1452,3
339950,2,1,820,681,3
615000,2,1,1540,6872,1
403000,3,2.75,2090,8354,2
980000,5,2.5,3160,11470,1
258000,4,1.75,1730,8320,1
533000,3,1,1670,4080,1
537500,4,2.5,2550,4630,2
830000,5,3,3040,9601,1
712000,3,1,1250,4620,1.5
262000,4,2.5,2020,6236,2
753888,4,2.5,2660,5500,2
134000,2,1.5,980,5000,2
402000,3,2.5,1960,8000,1
205000,2,1,720,5040,1
553650,2,2.5,1360,1349,2
559950,2,2,1870,4950,1
260000,4,1.5,2130,8800,1
270000,4,2.5,1810,6509,2
295000,2,1.75,2200,89298,1
719000,3,2.5,1690,4500,1.5
266000,3,2.5,1940,8547,1
325900,4,2.5,2320,6270,2
647500,4,1.75,2060,26036,1
1039000,4,1,3410,5000,2
569000,4,2.25,2250,41688,2
246000,3,1.75,1390,7399,1
515000,2,1,1060,4960,1
207000,3,1,1490,8995,1
780000,4,1.75,2480,9195,1
489990,5,2.25,2440,20828,1.5
335000,3,1.5,2240,87625,1.5
295000,3,2.5,1920,7229,2
385000,3,1.75,1890,9920,1
350000,4,1.75,2250,13515,1
235000,2,1,1270,3008,1
358000,2,1.5,960,1808,2
716500,4,2.5,3290,6465,2
228000,4,1.75,2000,6120,1
405000,2,1,1020,8155,1
538000,4,1.75,1840,9600,1
530000,3,1.75,1980,6760,1
1750000,6,3,3510,5760,2.5
636000,2,1.75,1230,3600,1.5
535000,4,2.5,2280,65836,2
1500000,3,1.75,2430,12757,1
868500,3,2.5,2920,3942,3
530000,4,2.75,2280,2850,1.5
450000,3,2,1510,43560,1
230000,3,1.75,950,6000,1
229000,3,2.5,1190,3000,2
437000,3,1.75,1310,9282,1
1307000,5,3.25,2800,3200,1.5
595000,3,2.5,1750,3354,2
660000,3,1.75,1320,5750,1.5
347500,4,2.5,2460,7350,2
297950,3,2,1240,10800,1
245000,3,1.5,1260,7964,1
543200,6,2.25,2820,15600,1.5
1250000,4,3.25,3820,24166,2
413450,3,2.5,1540,1614,3
330000,2,2,1550,435600,1.5
424500,3,1.75,1460,7700,1
230000,3,1,1390,16000,1
930000,3,3.25,2640,4080,2
349000,3,1.75,1590,9620,1
835000,4,2,1910,6960,1.5
988500,3,2.75,2015,16807,2
500000,3,1.75,1410,1197,3
499000,2,1.5,1110,957,2
321950,2,1.25,860,1277,2
494000,3,2.5,2310,4729,2
441750,2,1.5,1020,1060,3
438000,2,1,980,1179,2
985000,4,2.25,4230,37769,2
352000,3,2.25,1640,11050,1
839900,4,3.5,3810,13592,1
765000,4,2.75,2790,10819,2
460000,4,1.75,1750,5500,1.5
224500,4,1,1430,8355,1.5
254000,3,2.5,1850,4597,2
255000,2,1,960,28717,1
610000,3,3,2480,45302,1
920000,4,3,3750,11025,2
402500,4,2.5,2600,11951,2
280950,3,1.75,1390,8700,1
604000,4,2.5,2260,7753,2
565000,4,2.25,2470,7447,2
255000,2,1,810,7980,1
445000,4,2,1650,6000,1
2400000,3,2.25,3000,11665,1.5
195000,2,1,720,18000,1
275000,3,1.5,1390,48257,1
387000,3,2.25,1445,1606,2
490000,2,1,1840,3300,1.5
505000,3,2.5,2100,5824,2
303500,3,1.5,1060,10464,1
270000,3,1.5,1500,6337,1
323000,4,2.75,1970,7213,1
382000,3,3.25,1410,1253,3
1370000,4,2.75,3720,9450,1
280000,4,2,2190,14439,1
260000,3,2,1920,8075,1
201500,3,1,1160,8320,1
1157200,4,4.25,5860,52889,2
536500,4,1.75,2000,4000,1.5
248000,4,3,2163,5883,2
532000,5,3,3480,57499,1
580000,4,2.5,2840,6268,2
463000,2,1,1150,4400,1
742500,4,2.75,3100,3773,2
260000,3,2.5,1420,14850,1
590000,4,2.25,2430,32496,1
312000,4,2.25,1930,7452,1
566000,3,2.25,1660,10140,1
511555,3,2,1400,7293,1
583000,4,2.5,2660,4000,2
290000,4,2.5,2000,13300,1
311100,4,2.25,2130,8078,1
325000,3,2.25,1352,1694,3
491300,3,1.75,1750,11340,1
315000,5,1.75,2320,8100,1
360000,2,1,1420,81892,1
330000,4,2.5,1940,3784,2
481450,3,2,1410,4800,1
234950,3,1,1360,9948,1
251000,3,1.75,1220,7250,1
782000,4,2.5,2830,20345,2
833000,4,2.75,3780,10308,2
542500,4,2.5,2330,14289,2
851000,3,2.5,3560,107290,2
325000,4,1.5,1470,70800,1
415000,4,2.25,3060,48787,2
252500,3,1,1030,6127,1
465000,4,2.5,1930,9653,1
336900,3,1.75,1780,120661,1
225000,3,2.5,2000,9202,2
270000,3,2,1690,9583,1
1702500,5,4.5,5190,23716,2
536000,3,1.75,1300,5413,1.5
585000,4,3.25,2400,29252,2
445000,2,2,1150,6634,1
320000,4,2.25,2310,7490,2
769900,4,3.5,2730,3047,2
557000,4,2.5,2840,4500,2
212000,2,1.5,1020,1525,2
376000,3,2,1340,1384,3
800000,4,3.25,3540,159430,2
2238888,5,6.5,7270,130017,2
324000,3,2.25,998,904,2
549900,5,2.75,3060,7015,1
320000,3,2.5,2130,6969,2
875000,4,2,2520,6000,1
265000,4,1,1940,9533,1
394950,3,2.5,1350,1250,3
842500,4,2.5,2160,5298,2.5
368000,3,2.5,1370,1350,2
1225000,4,4.5,5420,101930,1
885000,4,2.5,2830,5000,2
453246,3,2.5,2010,2287,2
927000,4,2.75,3300,12090,2
490000,2,2.5,1230,1391,2
341000,3,1.5,1720,7119,1.5
235000,1,1,810,2451,1
1200000,3,1.75,1560,8078,1.5
560000,3,2,2560,216777,1
900000,4,3.25,4700,38412,2
255000,2,1,1220,2500,1
1575000,5,2.75,3650,20150,1
876650,3,3.25,2170,12508,1.5
540000,4,2.25,2540,228254,1
350000,2,1,910,4500,1.5
750000,4,2.5,2980,4930,2
582000,4,1.75,2120,4650,1
1315000,4,3.5,3460,3997,2
372500,5,3,2480,10090,1
410000,3,2.25,2200,16921,2
360000,4,2,1730,5500,1
1015000,3,2.5,2920,34527,1
225000,3,1,990,8012,1
647000,4,2.5,3040,6887,2
950000,5,3,4530,258746,1.5
185000,3,1.5,1370,8470,1
335000,3,2.5,1940,4927,2
210000,3,2.5,1040,2643,2
522000,4,2.25,1800,8623,1
770000,3,1.75,1720,5000,1
499950,3,1,980,6380,1
751000,4,2.5,3110,6142,2
330000,5,3,2100,7715,1
465000,3,1.5,2020,11358,1
850000,4,1.75,2350,11914,1
947500,4,2.25,3290,12329,1.5
302000,5,2.25,2180,7813,2
500000,2,2.25,1290,1334,3
201000,3,1,1460,9750,1
265000,2,1,1290,2828,2
870300,4,2.5,2350,3150,1.5
339000,3,1,1080,8100,1
690000,4,2.5,2670,13463,2
788000,4,3.25,3680,5759,2
315275,3,1.75,1440,8040,1
505000,4,1.75,1940,4800,1
368000,3,1,1280,9898,1
947500,3,2.75,2980,27144,1.5
156000,3,1,970,8580,1
610000,4,3,2110,5000,1.5
420000,2,2.5,1480,1369,3
192000,2,1,700,10540,1
910000,3,2,2700,6120,1
1300000,4,3.25,2330,9687,2
1346400,5,1.75,3380,20021,1
840000,4,2.75,2600,2750,1.5
300000,2,1.75,1360,8100,1
505000,4,2.5,2780,6369,1
110000,3,1,1250,53143,1
746000,3,2.5,2620,8950,2
211000,3,1.5,1350,7620,1
675000,4,3,2400,3340,1
734200,4,2.5,2760,5000,1.5
1225000,4,2.25,3070,16028,1
615000,2,1.75,2040,28593,1.5
630000,4,2,1770,6000,2
1264000,4,3.75,3490,9170,2
301500,2,1.5,830,1333,2
369000,2,2.5,980,895,2
635000,3,2.5,1570,1433,3
1033888,4,3.25,3270,5187,2
383000,4,2.5,2160,6223,2
1050000,4,3.75,3280,11000,2
455000,4,2.5,3360,7685,2
819900,5,2.75,3150,7119,2
625000,3,3.5,1810,1846,2
651000,4,2.5,2740,7140,2
480000,5,4.75,3830,35000,1
757000,3,3.25,3190,5283,2
460000,3,2.25,2350,10450,1
267345,4,2.25,2510,8165,1
530000,2,2,1680,4950,1
449500,3,2,1770,6610,1
289000,3,1,1090,7315,1
373000,5,2.5,3001,5710,2
525000,5,3,2450,4591,2
777000,3,3.25,3610,59677,2
550000,4,2,2250,7500,1
523000,3,1.5,1240,7735,1
628000,4,2,2260,6000,1
581000,4,1.75,2090,8164,1
245000,5,1.75,2020,7902,1
415000,3,1.75,1960,5000,1
1895000,5,2.25,3120,16672,2
225000,3,1.5,1250,7500,1
287000,3,2.25,1490,9600,1
799200,6,3,2890,2370,2.5
239950,3,1,1900,33888,1.5
591000,3,1.75,1680,2400,1
700000,3,2.5,2030,8398,2
475000,4,2.5,3740,8700,1
575000,3,1.75,1580,11750,1
771000,3,2.25,1780,6120,1.5
155000,2,1,910,6232,1
550000,7,4,3440,8100,2
645000,3,2.5,1740,13750,2
464000,5,2.5,3400,8970,1
1050000,4,3.25,4400,16625,2
350000,3,2.5,2010,14298,2
591000,4,2.25,2710,38180,2
2555000,4,2.5,5300,26211,2
717000,3,1.5,1310,3880,1
225000,4,1.5,1950,12559,1.5
225000,3,1,1040,6535,1
345000,3,1.75,1090,7200,1
230000,2,0.75,650,5360,1
385000,3,2,1480,6600,1
90000,2,1,790,2640,1
860000,4,2.5,3560,11119,1
675000,4,2.5,3000,5548,2
975000,4,2.5,3490,7494,2
780000,3,1.75,2340,10495,1
370000,3,1.75,1650,8254,1
665000,3,2,1940,5820,1.5
675000,5,3,3410,9600,1
620000,3,1,1710,4050,1.5
1105000,4,1.5,2740,4000,2
450000,3,2.75,1250,892,2
450000,3,2.25,2450,42180,1
530000,3,1.75,1690,8190,1
635000,4,1.75,1950,13320,1
580000,5,2,2290,7125,1
1550000,5,3.25,3370,17458,1
285000,3,1,1090,8640,1
375000,3,1,1190,9486,1
1400000,5,4.25,3530,7924,2
560000,3,1,1440,5000,2
405000,4,1.75,2180,13529,1
413000,4,1,1410,6000,1
287600,3,2.5,1950,8251,2
1680000,5,3.25,4860,23723,2
225000,3,1,1660,7210,1
319000,3,1,1390,12823,1
322500,3,2,1350,14200,1
570000,3,2,1530,5401,1
465000,3,1.5,1270,5112,1
435000,4,2.25,2140,6355,2
502000,4,2.5,2040,5616,2
525000,3,3.5,2876,5086,2
525000,3,2.5,1580,1161,2
660000,4,3.5,3400,5196,2
870000,4,2.5,3520,6773,2.5
650000,4,2.5,2210,4861,2
505000,4,2.5,2790,5602,2
330000,3,2.5,1450,5008,1
385000,4,1.75,1620,4980,1
306000,3,1.5,1220,1086,3
546000,3,1.75,2000,5000,1
925000,4,2.5,2190,7350,2.5
542000,4,1.75,1900,8250,1
800000,3,1,1700,4400,1.5
620000,5,2.5,2540,3832,2
175000,2,1,1170,8925,1
740000,5,5,5774,31675,1
345000,3,2.25,2120,15003,2
510000,3,1.75,2170,26460,1
530000,4,2.75,2450,15002,1
155000,2,1,700,5200,1
266000,3,2.5,1780,7214,1
257200,3,2,1850,8250,1
265000,3,2,1570,5706,1
372220,3,1,1290,5500,1
337500,5,2,1700,7314,1
582500,2,1.5,1159,4800,1
489200,3,2.75,1850,9600,1.5
405100,2,1,840,3522,1
372977,3,2.5,1690,1618,2
310000,3,1,1050,9876,1
538000,3,1.75,1400,3825,1.5
1400000,3,2.5,2550,7200,2
317000,3,2.5,1840,5011,2
702500,3,1.5,2360,6750,2
565000,4,2.5,2240,14667,2
723000,4,2.5,2700,4004,2
766950,3,2.5,3030,30007,1.5
682000,3,1.75,1830,5120,1.5
325000,3,2.5,2220,6049,2
543000,3,2.5,2090,7640,1
525000,3,1.75,1600,6120,1.5
364000,4,1.75,2010,8625,1
394475,2,1,830,4000,1
316000,4,2.5,2010,7226,2
339950,3,1,1050,5402,1.5
486000,4,2.5,2150,39449,1
160000,3,1,860,11900,1
930000,3,2.5,3100,20553,1
139000,3,1,1100,17334,1
562000,3,1.5,1830,8000,1
299000,2,1.75,1250,34395,1
511000,3,2.5,1820,4883,2
499000,3,2,2090,42689,1.5
356000,3,3.5,2100,12384,2
470000,4,2.5,2310,14023,2
715000,4,2.25,2060,5649,1
1120000,4,2.25,4470,60373,2
458000,3,1,1660,7500,1
966000,5,4.5,3810,8019,2
305495,3,1.75,2110,10200,2
543000,2,2,2370,217800,1.5
340000,3,2.25,1970,3716,2
633100,4,2.5,2470,33305,2
310000,3,1,1480,7830,1
349950,5,3,2257,10117,1
267800,2,1,700,6000,1
234000,4,2,1630,9010,1
740000,4,2.5,3430,10157,2
607500,5,1.75,2220,6000,1.5
223000,3,1.75,1340,7473,1
400000,2,1,980,2130,1
802000,3,2.5,2580,13096,2
253000,4,2.5,2230,4541,2
1058000,4,2,2290,11137,1
300000,3,1,1260,8280,1
625000,4,2.75,1680,11180,1
707000,4,3.25,3200,7081,2
950000,4,2.5,3320,7644,2
420000,4,2.5,3040,24123,2
498000,4,2.75,2270,7375,1
450000,3,2.5,2910,17172,2
955000,5,2.25,2510,9887,2
215000,2,1,1240,7200,1
437000,3,2.75,2580,5200,2
773000,3,2.75,2470,3600,2
1222500,4,3.5,4910,9444,1.5
256883,3,2.5,1690,5025,2
592500,4,2.5,2240,12032,1
252350,3,2,1650,7352,1
370000,4,2.5,2710,5880,2
465750,3,1.5,1260,10350,1
185000,3,1,1150,8100,1
582800,4,2.75,2550,7636,1
245000,3,1.75,1490,6930,1
302000,4,1.75,2020,7865,1
451555,2,1,1320,4520,1
250000,3,1,1230,10350,1
255000,4,2.5,2070,7800,2
840000,4,1.75,2930,11562,1
190000,3,1,1090,8520,1
349950,3,1,1400,7066,1
613000,4,2,1550,4815,1.5
300000,3,1,1220,13000,1
455000,3,2.5,1870,7344,1
335000,3,2.25,2150,30476,2
197500,3,1,980,3090,1.5
412500,3,1.5,1490,8475,1
395300,3,1.5,1120,7000,1
342400,3,2.25,1180,9630,2
749400,4,2.5,3240,20301,2
316500,4,2.5,2150,6807,2
390000,3,2.5,2240,10800,2
225000,3,2,1400,7384,1
550000,3,2.25,1980,40887,1
280000,3,1,1330,20562,1.5
1255000,4,2.5,3200,7535,2
575000,2,1,1490,6000,1
1000000,5,4.25,3920,16258,2
585000,5,1.75,2000,3750,2
620000,4,2.5,2680,9185,2
204700,4,2,1670,9987,1
695000,4,3,3150,9130,2
689900,4,3.25,2740,7266,2
375000,4,1.75,1890,8000,1
475000,7,3.5,2870,29699,1
215000,3,1,1160,10384,1
2100000,4,1.75,3550,19865,2
790000,3,1.75,1790,6117,1
350000,3,1.75,1680,250470,1
695000,3,2.5,4560,17622,2
263000,3,2.25,1590,7748,2
400000,3,1,1630,10304,1
525000,3,2.5,2700,7434,2
349950,3,2.5,1700,7496,2
1085000,4,3.25,3740,12080,1
744000,4,3,1980,5352,2.5
312500,2,1,880,6345,1
240000,3,2,1400,6200,1
495000,4,2,2050,4000,1.5
580050,3,2.5,2360,4638,2
640000,4,2,2560,7798,1
417000,3,1.5,1340,10224,1
174950,3,1,1060,5200,1
295000,3,1.5,850,2500,1
423000,4,1.75,1880,7303,1
839000,3,1,1230,12305,1
343000,4,1.75,2290,10290,1
467000,3,1,1660,6582,1
512500,3,2.5,1840,2875,2
575000,4,2.5,3020,17810,1
465000,3,1.75,1410,6886,1
270000,3,1,1010,9514,1
340000,3,1.75,1960,8136,1
765000,5,3.75,3580,14275,2
497000,4,2.5,2240,7200,2
803100,4,2.5,3310,5404,2
344000,3,2.5,1232,1130,3
828950,4,3.5,3930,5680,2
386380,3,2.5,1720,3600,2
312000,3,2.25,1490,974,2
720000,3,2.5,3150,151588,2
914500,4,2.5,3950,10856,3
819995,5,2.75,3030,10335,2
252700,2,1.5,1070,9643,1
437500,3,2.5,2320,36847,2
350000,1,1,700,5100,1
619000,3,2.5,2720,6439,2
408200,3,2.5,1800,5761,2
451000,3,1.75,1560,4049,1.5
317000,3,2,1760,11410,1
799000,4,3.25,3120,5000,2
720000,2,1,2020,7200,1
490000,3,2,1450,2400,1.5
239900,4,2.25,1860,7000,1
446000,4,2.25,2270,7800,1
275000,3,2.5,1480,15639,2
239950,5,1,1460,6032,2
248000,4,3.5,1850,6519,2
619500,3,2.5,2170,5000,2
363750,3,1.75,1726,197326,2
385000,3,1.75,1180,10541,1
370000,4,1.5,1370,9957,1
425000,3,2.5,2670,13218,1
342000,3,1,1260,6826,1
345000,4,1,1980,7991,1.5
724800,3,2,2050,3933,1
725000,5,2.75,2830,5310,2
605000,2,1,910,3600,1
350000,4,2.5,2440,4000,2
785000,3,2,2180,5440,1
250000,3,2,1900,6660,1
565000,3,2.25,1520,1221,3
875000,3,2,2220,6641,1
862500,4,2.75,3280,24440,2
400000,3,2.5,2740,83199,2
282613,2,1,830,6017,1
174500,2,1,1010,5200,1
306500,3,2.25,2060,38377,1
445000,3,2.25,1990,7340,2
433000,4,2.5,2280,7568,2
306000,3,2.5,1870,5874,2
620000,3,2.25,1720,4000,1.5
245000,2,1,870,6150,1
238000,3,2,1020,1204,2
523000,3,1.5,1260,3135,1.5
522500,3,2.5,2370,7875,2
180000,3,1,1000,18513,1
375000,3,1.5,1100,1751,2
249000,3,2.25,1440,7673,1
730100,4,2.5,3120,14300,2
551000,2,2,2260,9604,1
375000,4,2.5,2790,7956,2
540000,1,1,1140,6700,1.5
605000,3,2.25,1290,2500,2
205000,5,1.75,1730,5200,1
645000,4,2.5,3160,11380,2
314000,4,2.5,2340,8990,2
330000,3,1.5,1170,4950,1
490000,2,1,1160,5000,1
445000,3,3,1970,24318,1
